file,mse,TP,FP,FN,TN,parameters,threshold_parameters,no_of_anomalies,first_label,length,first_label_ratio
art_daily_no_noise.csv,18.799452,0.0,0.0,0.0,4032.0,lstmCells=10;DL1units=20;DL2units=5;DL3units=1;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=60,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0424140821459;,0.0,4032.0,4032.0,1.0
art_daily_perfect_square_wave.csv,27.239143,0.0,0.0,0.0,4032.0,lstmCells=10;DL1units=20;DL2units=5;DL3units=1;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=60,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0424140821459;,0.0,4032.0,4032.0,1.0
art_daily_small_noise.csv,28.941405,0.0,0.0,0.0,4032.0,lstmCells=10;DL1units=20;DL2units=5;DL3units=1;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=60,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0424140821459;,0.0,4032.0,4032.0,1.0
art_flatline.csv,0.0,0.0,0.0,0.0,4032.0,lstmCells=10;DL1units=20;DL2units=5;DL3units=1;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=60,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0424140821459;,0.0,4032.0,4032.0,1.0
art_noisy.csv,10.500358,0.0,0.0,0.0,4032.0,lstmCells=10;DL1units=20;DL2units=5;DL3units=1;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=60,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.0424140821459;,0.0,4032.0,4032.0,1.0
art_daily_flatmiddle.csv,160.52905,1.0,167.0,0.0,3462.0,lstmCells=11;DL1units=20;DL2units=5;DL3units=1;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=20,comparision_window_size=100;threshold_max_multipler=2;training_ratio=0.0424140821459;,1.0,2680.0,4032.0,0.665
art_daily_jumpsdown.csv,29.03319,0.0,0.0,1.0,3629.0,lstmCells=15;DL1units=10;DL2units=5;DL3units=1;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=30,comparision_window_size=100;threshold_max_multipler=2;training_ratio=0.0424140821459;,1.0,2788.0,4032.0,0.691
art_daily_jumpsup.csv,163.912244,1.0,0.0,0.0,3629.0,lstmCells=11;DL1units=20;DL2units=5;DL3units=1;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=20,comparision_window_size=2;threshold_max_multipler=2;training_ratio=0.0424140821459;,1.0,2788.0,4032.0,0.691
art_daily_nojump.csv,30.319797,0.0,0.0,1.0,3629.0,lstmCells=15;DL1units=10;DL2units=5;DL3units=1;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=30,comparision_window_size=10;threshold_max_multipler=2;training_ratio=0.0424140821459;,1.0,2788.0,4032.0,0.691
art_increase_spike_density.csv,6.7439990000000005,0.0,0.0,1.0,3629.0,lstmCells=11;DL1units=20;DL2units=5;DL3units=1;epochs=10;batch_size=1;training_ratio=0.1125;sequance_length=20,comparision_window_size=10;threshold_max_multipler=2;training_ratio=0.0424140821459;,1.0,1806.0,4032.0,0.448
