timestamp,value,prediction_training,prediction,label,warp_distance,threshold_training,distance_threshold,positive_detection
2014-03-07 03:41:00,45.868,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 03:46:00,47.606,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 03:51:00,42.58,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 03:56:00,46.03,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 04:01:00,44.992,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 04:06:00,45.238,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 04:11:00,45.751999999999995,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 04:16:00,46.476000000000006,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 04:21:00,42.751999999999995,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 04:26:00,46.15600000000001,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 04:31:00,43.35,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 04:36:00,46.292,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 04:41:00,43.428000000000004,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 04:46:00,46.31399999999999,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 04:51:00,43.688,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 04:56:00,45.4,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 05:01:00,45.858000000000004,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 05:06:00,43.13800000000001,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 05:11:00,46.023999999999994,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 05:16:00,46.501999999999995,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 05:21:00,42.606,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 05:26:00,45.47,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 05:31:00,42.652,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 05:36:00,46.48,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 05:41:00,45.47,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 05:46:00,44.882,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 05:51:00,42.501999999999995,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 05:56:00,46.104,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 06:01:00,43.88399999999999,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 06:06:00,43.943999999999996,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 06:11:00,46.056000000000004,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 06:16:00,45.658,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 06:21:00,43.662,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 06:26:00,44.074,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 06:31:00,42.91,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 06:36:00,44.32,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 06:41:00,44.718,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 06:46:00,45.658,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 06:51:00,42.63,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 06:56:00,46.478,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 07:01:00,46.431999999999995,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 07:06:00,41.76600000000001,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 07:11:00,47.008,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 07:16:00,44.94600000000001,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 07:21:00,42.111999999999995,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 07:26:00,43.85,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 07:31:00,43.78,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 07:36:00,46.11,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 07:41:00,43.662,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 07:46:00,46.808,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 07:51:00,40.586,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 07:56:00,45.87,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 08:01:00,43.618,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 08:06:00,43.63800000000001,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 08:11:00,48.412,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 08:16:00,40.61,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 08:21:00,43.402,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 08:26:00,42.324,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 08:31:00,44.56399999999999,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 08:36:00,42.858000000000004,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 08:41:00,45.63800000000001,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 08:46:00,44.32,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 08:51:00,40.916,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 08:56:00,45.58600000000001,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 09:01:00,43.69600000000001,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 09:06:00,43.908,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 09:11:00,47.042,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 09:16:00,43.49800000000001,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 09:21:00,43.772,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 09:26:00,42.641999999999996,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 09:31:00,44.193999999999996,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 09:36:00,45.63399999999999,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 09:41:00,43.17,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 09:46:00,43.732,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 09:51:00,43.49800000000001,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 09:56:00,45.492,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 10:01:00,44.742,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 10:06:00,43.216,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 10:11:00,45.848,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 10:16:00,42.824,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 10:21:00,42.23,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 10:26:00,42.442,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 10:31:00,43.474,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 10:36:00,46.666000000000004,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 10:41:00,40.97,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 10:46:00,43.732,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 10:51:00,45.163999999999994,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 10:56:00,44.782,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 11:01:00,44.083999999999996,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 11:06:00,44.968,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 11:11:00,46.104,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 11:16:00,43.688,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 11:21:00,42.332,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 11:26:00,43.756,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 11:31:00,43.708,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 11:36:00,45.49800000000001,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 11:41:00,45.773999999999994,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 11:46:00,42.31,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 11:51:00,46.681999999999995,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 11:56:00,43.49800000000001,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 12:01:00,44.096000000000004,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 12:06:00,44.022,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 12:11:00,47.571999999999996,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 12:16:00,42.258,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 12:21:00,44.202,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 12:26:00,44.32,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 12:31:00,44.013999999999996,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 12:36:00,44.983999999999995,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 12:41:00,45.59,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 12:46:00,40.69,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 12:51:00,44.176,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 12:56:00,46.263999999999996,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 13:01:00,44.108000000000004,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 13:06:00,45.58600000000001,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 13:11:00,44.9,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 13:16:00,43.58600000000001,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 13:21:00,43.556000000000004,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 13:26:00,45.773999999999994,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 13:31:00,43.122,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 13:36:00,44.83600000000001,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 13:41:00,47.37,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 13:46:00,42.03,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 13:51:00,45.61,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 13:56:00,44.961999999999996,1.0,1.0,0,0.0,0.0,0.0,0.0
2014-03-07 14:01:00,44.812,1.0,1.0,0,0.0,0.0,0.0,0.0
